epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,195.007,0.5874,1.04548,0.95788,0.85052,0.88921,0.9212,0.79769,0.71096,1.08232,0.96555,9.9271e-05,9.9271e-05,9.9271e-05
41,199.87,0.56837,0.93297,0.95257,0.8542,0.87864,0.9212,0.78756,0.71332,1.08004,0.96551,9.7104e-05,9.7104e-05,9.7104e-05
42,204.88,0.59537,0.94217,0.90324,0.8542,0.87864,0.9212,0.78756,0.71332,1.08004,0.96551,9.47014e-05,9.47014e-05,9.47014e-05
43,210.162,0.58391,0.92878,0.92155,0.86068,0.86329,0.9212,0.78756,0.71252,1.08272,0.96282,9.20632e-05,9.20632e-05,9.20632e-05
44,214.873,0.62598,0.97294,0.90748,0.86068,0.86329,0.9212,0.78756,0.71252,1.08272,0.96282,8.91893e-05,8.91893e-05,8.91893e-05
45,219.528,0.60208,0.89834,0.92813,0.86808,0.84893,0.9212,0.78939,0.7115,1.07788,0.96108,8.60798e-05,8.60798e-05,8.60798e-05
46,224.128,0.62892,0.86732,0.91232,0.86808,0.84893,0.9212,0.78939,0.7115,1.07788,0.96108,8.27347e-05,8.27347e-05,8.27347e-05
47,228.742,0.56441,0.85275,0.93506,0.87641,0.84076,0.9212,0.78939,0.71022,1.06821,0.95908,7.9154e-05,7.9154e-05,7.9154e-05
48,233.625,0.58261,0.87109,0.9113,0.87641,0.84076,0.9212,0.78939,0.71022,1.06821,0.95908,7.53377e-05,7.53377e-05,7.53377e-05
49,238.548,0.5941,0.85022,0.95808,0.88467,0.83446,0.9212,0.78939,0.70619,1.05586,0.9553,7.12858e-05,7.12858e-05,7.12858e-05
50,243.238,0.58924,0.92781,0.9049,0.88467,0.83446,0.9212,0.78939,0.70619,1.05586,0.9553,6.69982e-05,6.69982e-05,6.69982e-05
51,248.399,0.57717,0.88726,0.939,0.87522,0.84964,0.9212,0.78815,0.70483,1.0475,0.9523,6.2475e-05,6.2475e-05,6.2475e-05
52,253.319,0.56793,0.86206,0.91897,0.87522,0.84964,0.9212,0.78815,0.70483,1.0475,0.9523,5.77162e-05,5.77162e-05,5.77162e-05
53,257.976,0.54688,0.86306,0.96401,0.87522,0.84964,0.9212,0.78815,0.70483,1.0475,0.9523,5.27218e-05,5.27218e-05,5.27218e-05
54,262.556,0.60014,0.83943,0.96606,0.86798,0.86926,0.9212,0.78815,0.7046,1.0361,0.95224,4.74917e-05,4.74917e-05,4.74917e-05
55,266.959,0.5854,0.89014,0.94028,0.86798,0.86926,0.9212,0.78815,0.7046,1.0361,0.95224,4.2026e-05,4.2026e-05,4.2026e-05
56,271.565,0.56887,0.85381,0.89134,0.86798,0.86926,0.9212,0.78815,0.7046,1.0361,0.95224,3.63248e-05,3.63248e-05,3.63248e-05
57,276.142,0.5733,0.88353,0.94891,0.86595,0.88658,0.9212,0.78815,0.70536,1.02967,0.95419,3.03878e-05,3.03878e-05,3.03878e-05
58,280.683,0.63236,0.85172,0.98042,0.86595,0.88658,0.9212,0.78815,0.70536,1.02967,0.95419,2.42153e-05,2.42153e-05,2.42153e-05
59,285.065,0.57905,0.8289,0.94531,0.86595,0.88658,0.9212,0.78815,0.70536,1.02967,0.95419,1.78072e-05,1.78072e-05,1.78072e-05
60,289.447,0.59648,0.97722,0.93167,0.87017,0.89223,0.9212,0.78815,0.70493,1.03258,0.95413,1.11634e-05,1.11634e-05,1.11634e-05
